Date,Close
4/23/2018 16:00:00,38.75
4/24/2018 16:00:00,38.75
4/25/2018 16:00:00,38.17
4/26/2018 16:00:00,38.17
4/27/2018 16:00:00,38.17
4/30/2018 16:00:00,38.45
5/1/2018 16:00:00,38.93
5/2/2018 16:00:00,37.75
5/3/2018 16:00:00,38.1
5/4/2018 16:00:00,38.59
5/7/2018 16:00:00,38.45
5/8/2018 16:00:00,39.18
5/9/2018 16:00:00,39.35
5/10/2018 16:00:00,39.77
5/11/2018 16:00:00,39.91
5/14/2018 16:00:00,39.95
5/15/2018 16:00:00,39.3
5/16/2018 16:00:00,39.79
5/17/2018 16:00:00,38.96
5/18/2018 16:00:00,38.96
5/21/2018 16:00:00,39.47
5/22/2018 16:00:00,39.64
5/23/2018 16:00:00,39.65
5/24/2018 16:00:00,39.27
5/25/2018 16:00:00,39.3
5/29/2018 16:00:00,38.16
5/30/2018 16:00:00,38.34
5/31/2018 16:00:00,38.34
6/1/2018 16:00:00,39.2
6/4/2018 16:00:00,39.97
6/5/2018 16:00:00,39.54
6/6/2018 16:00:00,39.56
6/7/2018 16:00:00,39.52
6/8/2018 16:00:00,38.93
6/11/2018 16:00:00,38.76
6/12/2018 16:00:00,39.2
6/13/2018 16:00:00,39.05
6/14/2018 16:00:00,38.6
6/15/2018 16:00:00,38.69
6/18/2018 16:00:00,38.25
6/19/2018 16:00:00,37.56
6/20/2018 16:00:00,38.35
6/21/2018 16:00:00,37.62
6/22/2018 16:00:00,38.12
6/25/2018 16:00:00,36.51
6/26/2018 16:00:00,36.46
6/27/2018 16:00:00,35.51
6/28/2018 16:00:00,35.94
6/29/2018 16:00:00,36.56
7/2/2018 16:00:00,36.54
7/3/2018 13:00:00,36.39
7/5/2018 16:00:00,36.59
7/6/2018 16:00:00,37.27
7/9/2018 16:00:00,37.83
7/10/2018 16:00:00,37.93
7/11/2018 16:00:00,36.97
7/12/2018 16:00:00,37.31
7/13/2018 16:00:00,37.77
7/16/2018 16:00:00,37.79
7/17/2018 16:00:00,38.04
7/18/2018 16:00:00,38.41
7/19/2018 16:00:00,39.81
7/20/2018 16:00:00,40.73
7/23/2018 16:00:00,40.74
7/24/2018 16:00:00,40.39
7/25/2018 16:00:00,40.89
7/26/2018 16:00:00,40.82
7/27/2018 16:00:00,41.45
7/30/2018 16:00:00,41.09
7/31/2018 16:00:00,41.21
8/1/2018 16:00:00,41.71
8/2/2018 16:00:00,41.55
8/3/2018 16:00:00,41.69
8/6/2018 16:00:00,41.07
8/7/2018 16:00:00,41.24
8/8/2018 16:00:00,41.97
8/9/2018 16:00:00,41.84
8/10/2018 16:00:00,41.03
8/13/2018 16:00:00,40.71
8/14/2018 16:00:00,40.91
8/15/2018 16:00:00,40.45
8/16/2018 16:00:00,40.41
8/17/2018 16:00:00,40.13
8/20/2018 16:00:00,40.1
8/21/2018 16:00:00,40.89
8/22/2018 16:00:00,40.9
8/23/2018 16:00:00,40.68
8/24/2018 16:00:00,41.24
8/27/2018 16:00:00,41.53
8/28/2018 16:00:00,42.35
8/29/2018 16:00:00,44.13
8/30/2018 16:00:00,43.46
8/31/2018 16:00:00,43.6
9/4/2018 16:00:00,44.11
9/5/2018 16:00:00,44.22
9/6/2018 16:00:00,44.05
9/7/2018 16:00:00,44.88
9/10/2018 16:00:00,44.62
9/11/2018 16:00:00,44.55
9/12/2018 16:00:00,43.94
9/13/2018 16:00:00,43.43
9/14/2018 16:00:00,44.41
9/17/2018 16:00:00,43.76
9/18/2018 16:00:00,43.56
9/19/2018 16:00:00,44.02
9/20/2018 16:00:00,44.17
9/21/2018 16:00:00,44.06
9/24/2018 16:00:00,44.89
9/25/2018 16:00:00,44.17
9/26/2018 16:00:00,44.27
9/27/2018 16:00:00,44.76
9/28/2018 16:00:00,44.16
10/1/2018 16:00:00,44.66
10/2/2018 16:00:00,43.62
10/3/2018 16:00:00,43.96
10/4/2018 16:00:00,42.43
10/5/2018 16:00:00,41.63
10/8/2018 16:00:00,40.96
10/9/2018 16:00:00,40.9
10/10/2018 16:00:00,39.35
10/11/2018 16:00:00,38.94
10/12/2018 16:00:00,39.66
10/15/2018 16:00:00,38.75
10/16/2018 16:00:00,40.01
10/17/2018 16:00:00,39.57
10/18/2018 16:00:00,38.54
